raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
1626.16,2492.1,nan,nan
1628.442,2328.0,nan,nan
1630.723,2154.95,nan,nan
1633.004,1959.95,nan,nan
1635.284,1834.3,nan,nan
1637.564,1696.3,nan,nan
1639.842,1608.0,nan,nan
1642.121,1554.55,nan,nan
1644.398,1492.8,nan,nan
1646.675,1467.15,nan,nan
1648.951,1414.55,nan,nan
1651.227,1396.1,nan,nan
1653.502,1367.95,nan,nan
1655.776,1333.9,nan,nan
1658.05,1327.5,nan,nan
1660.323,1316.3,nan,nan
1662.595,1284.75,nan,nan
1664.867,1275.5,nan,nan
1667.138,1271.8,nan,nan
1669.408,1249.2,nan,nan
1671.678,1252.2,nan,nan
1673.947,1281.25,nan,nan
1676.215,1277.9,nan,nan
1678.483,1297.1,nan,nan
1680.75,1295.3,nan,nan
1683.017,1285.4,nan,nan
1685.283,1291.15,nan,nan
1687.548,1278.2,nan,nan
1689.813,1245.15,nan,nan
1692.076,1231.5,nan,nan
1694.34,1218.35,nan,nan
1696.602,1209.55,nan,nan
1698.864,1186.4,nan,nan
1701.126,1188.55,nan,nan
1703.386,1165.65,nan,nan
1705.646,1158.15,nan,nan
1707.906,1160.15,nan,nan
1710.165,1149.0,nan,nan
1712.423,1145.0,nan,nan
1714.68,1144.55,nan,nan
1716.937,1145.35,nan,nan
1719.193,1130.8,nan,nan
1721.449,1125.85,nan,nan
1723.703,1148.05,nan,nan
1725.958,1136.3,nan,nan
1728.211,1139.5,nan,nan
1730.464,1136.35,nan,nan
1732.717,1149.25,nan,nan
1734.968,1134.75,nan,nan
1737.219,1129.4,nan,nan
1739.47,1123.85,nan,nan
1741.719,1125.75,nan,nan
1743.969,1111.45,nan,nan
1746.217,1112.4,nan,nan
1748.465,1110.6,nan,nan
1750.712,1103.2,nan,nan
1752.959,1097.15,nan,nan
1755.205,1097.05,nan,nan
1757.45,1099.95,nan,nan
1759.695,1102.95,nan,nan
1761.939,1091.9,nan,nan
1764.182,1108.0,nan,nan
1766.425,1105.0,nan,nan
1768.667,1112.6,nan,nan
1770.908,1108.75,nan,nan
1773.149,1116.3,nan,nan
1775.389,1105.8,nan,nan
1777.629,1116.05,nan,nan
1779.868,1127.55,nan,nan
1782.106,1137.3,nan,nan
1784.343,1147.5,nan,nan
1786.58,1174.05,nan,nan
1788.817,1172.0,nan,nan
1791.053,1181.85,nan,nan
1793.288,1169.75,nan,nan
1795.522,1151.9,nan,nan
1797.756,1121.4,nan,nan
1799.989,1116.1,nan,nan
1802.222,1100.35,nan,nan
1804.454,1104.95,nan,nan
1806.685,1090.75,nan,nan
1808.916,1089.45,nan,nan
1811.146,1092.9,nan,nan
1813.375,1079.65,nan,nan
1815.604,1092.15,nan,nan
1817.832,1076.6,nan,nan
1820.059,1066.8,nan,nan
1822.286,1080.05,nan,nan
1824.512,1065.25,nan,nan
1826.738,1080.65,nan,nan
1828.963,1064.6,nan,nan
1831.187,1062.6,nan,nan
1833.411,1065.15,nan,nan
1835.634,1059.8,nan,nan
1837.857,1057.1,nan,nan
1840.079,1067.2,nan,nan
1842.3,1067.3,nan,nan
1844.52,1062.2,nan,nan
1846.74,1063.75,nan,nan
1848.96,1067.1,nan,nan
1851.178,1064.35,nan,nan
1853.396,1053.55,nan,nan
1855.614,1063.8,nan,nan
1857.831,1055.95,nan,nan
1860.047,1051.75,nan,nan
1862.262,1055.95,nan,nan
1864.477,1052.25,nan,nan
1866.692,1057.3,nan,nan
1868.905,1055.2,nan,nan
1871.118,1052.8,nan,nan
1873.331,1050.85,nan,nan
1875.542,1053.0,nan,nan
1877.754,1053.5,nan,nan
1879.964,1043.25,nan,nan
